蛋白     类            L 模式     臂       目标     均值   dev  达标    rec   pkt  gravy   TM中位 TM≥0.7 TM<0.5   RMSD  pLDDT
2FEO   dna        221 ligand p2      -5  -5.98  0.98   ✓ 0.332 0.336  0.258   0.92    1.0    0.0   1.73   77.8
2FEO   dna        221 ligand n8     -15 -15.61  0.61   ✓ 0.333 0.352  0.051  0.922    1.0    0.0   1.79   77.4
2FEO   dna        221 ligand p8       1  -0.21  1.21   ✓ 0.332 0.338  0.286  0.925    1.0    0.0   1.74   77.4
5CQH   dna        183 ligand native  -6  -5.46  0.54   ✓ 0.445 0.486 -0.254  0.961    1.0    0.0   1.19   84.7
5CQH   dna        183 ligand n2      -8  -8.44  0.44   ✓  0.45  0.49 -0.256  0.959    1.0    0.0   1.25   84.5
5CQH   dna        183 ligand p2      -4  -3.67  0.33   ✓ 0.441 0.477 -0.251  0.963    1.0    0.0   1.19   85.1
5CQH   dna        183 ligand n8     -14 -14.04  0.04   ✓ 0.458 0.504 -0.293  0.964    1.0    0.0   1.16   84.2
5CQH   dna        183 ligand p8       2   2.23  0.23   ✓ 0.422  0.45 -0.291  0.965    1.0    0.0   1.15   84.7

=== 配体消融对比（ligand vs protein，H2 dev / H1 TM）===

H2 电荷达标: 36/50 = 0.72
H1 TM≥0.70: 37/50 = 0.74

已写 output/generalization_ligand_v12_2_stats.json
