[16:58:10] === ConfuMPNN Phase 2 条件微调启动（v10）===
[16:58:10] device=cuda:4  epochs=1  lr=0.001  λ_c=0.5  λ_kl=0.05  λ_keep=0.5  perturb_prob=0.3  perturb_scale=4.0  placeholder_prob=0.15  charge_temp=0.5
[16:58:10] [v11 A-fix] 绝对 target 采样开：target ∈ Uniform[-35.0, 20.0]，与 native 无关（覆盖验证深负靶区）
[16:58:10] [v12] 训练侧监督开：组成双计数(floor=0.5) + GRAVY(margin=0.4)  λ_v12=0.2  λ_target=0.2  SASA θ=0.25
[16:58:10] [v10 C] pH 自适应结构惩罚开：boost=1.5
[16:58:10] [A1 global] 计数锚覆盖 surface∪pocket：floor=0.8 ceil=1.3 λ_pocket=0.3 cutoff=8.0
[16:58:11] backbone: MoMPNN 冻结（2.62M 参数，不更新）
[16:58:11] ConditionEncoder 可训练（74880 参数，唯一更新对象）
[16:58:12] 数据：50 结构域 × 8 pH = 400 样本（data/ligand_train/labels_smoke_v14_final.npz）
[16:58:12]   ℹ️ 1JCG.pdb 分区 pocket=53/335 core=140 surface=153
[16:58:23]   ℹ️ 3HOT_B.pdb 分区 pocket=128/338 core=85 surface=193
[16:58:23]   ℹ️ 3WVK_A.pdb 分区 pocket=75/298 core=105 surface=163
[16:58:24]   ℹ️ 4GDF_A.pdb 分区 pocket=66/497 core=207 surface=267
[16:58:24]   ℹ️ 4NOD_A.pdb 分区 pocket=75/190 core=26 surface=135
[16:58:25]   ℹ️ 4V4T_AB.pdb 分区 pocket=37/234 core=100 surface=116
[16:58:25]   ℹ️ 4V4T_AC.pdb 分区 pocket=54/206 core=73 surface=105
[16:58:25]   ℹ️ 4V4T_AD.pdb 分区 pocket=97/208 core=60 surface=85
[16:58:25]   ℹ️ 4V4T_AE.pdb 分区 pocket=65/150 core=40 surface=65
[16:58:25]   ℹ️ 4V4T_AF.pdb 分区 pocket=25/101 core=31 surface=61
[16:58:26]   ℹ️ 4V4T_AG.pdb 分区 pocket=68/155 core=43 surface=75
[16:58:26]   ℹ️ 4V4T_AH.pdb 分区 pocket=65/138 core=31 surface=64
[16:58:26]   ℹ️ 4V4T_AI.pdb 分区 pocket=65/127 core=28 surface=57
[16:58:26]   ℹ️ 4V4T_AJ.pdb 分区 pocket=45/98 core=19 surface=53
[16:58:27]   ℹ️ 4V4T_AK.pdb 分区 pocket=52/119 core=28 surface=61
[16:58:27]   ℹ️ 4V4T_AL.pdb 分区 pocket=86/124 core=14 surface=64
[16:58:27]   ℹ️ 4V4T_AM.pdb 分区 pocket=74/125 core=14 surface=70
[16:58:27]   ℹ️ 4V4T_AN.pdb 分区 pocket=39/60 core=5 surface=34
[16:58:27] 预解析完成，缓存 encode 特征 ~0.22GB
[16:58:27] 开始训练：1 epochs × 50 域/epoch = 50 steps
[16:58:36] epoch 1/1  total=9.3599  ce=1.6004  charge=10.6505  kl=0.0113  keep=0.6343  [cd self=8.929  mild=8.122  extreme=15.673]  elapsed=0.1min
[16:58:37] 训练完成。总耗时 0.2min。checkpoint 在 output/finetune_ligand_v14_dryrun2/
