[05:26:45] === ConfuMPNN Phase 2 条件微调启动（v10）===
[05:26:45] device=cuda:6  epochs=16  lr=0.001  λ_c=0.5  λ_kl=0.05  λ_keep=0.5  perturb_prob=0.3  perturb_scale=4.0  placeholder_prob=0.15  charge_temp=0.5
[05:26:45] [v11 A-fix] 绝对 target 采样开：target ∈ Uniform[-35.0, 20.0]，与 native 无关（覆盖验证深负靶区）
[05:26:45] [v12] 训练侧监督开：组成双计数(floor=0.5) + GRAVY(margin=0.4)  λ_v12=0.2  λ_target=0.2  SASA θ=0.25
[05:26:45] [v10 C] pH 自适应结构惩罚开：boost=1.5
[05:26:45] [A1 global] 计数锚覆盖 surface∪pocket：floor=0.8 ceil=1.3 λ_pocket=0.3 cutoff=8.0
[05:26:47] backbone: MoMPNN 冻结（2.62M 参数，不更新）
[05:26:47] ConditionEncoder 可训练（74880 参数，唯一更新对象）
[05:26:47] 数据：1364 结构域 × 8 pH = 10912 样本（ablation/data/labels_ablate_lig.npz）
[05:26:48]   ℹ️ 1JCG.pdb 分区 pocket=53/335 core=140 surface=153
[05:26:53]   ℹ️ 1L69.pdb 分区 pocket=18/162 core=66 surface=88
[05:26:53]   ℹ️ 1L70.pdb 分区 pocket=33/162 core=56 surface=88
[05:26:53]   ℹ️ 1IIP.pdb 分区 pocket=12/297 core=126 surface=162
[05:26:53]   ℹ️ 1LF0.pdb 分区 pocket=42/166 core=62 surface=84
[05:26:54]   ℹ️ 1JFK.pdb 分区 pocket=47/134 core=20 surface=99
[05:26:54]   ℹ️ 1KEI.pdb 分区 pocket=47/318 core=146 surface=141
[05:26:55]   ℹ️ 1DJL.pdb 分区 pocket=99/364 core=141 surface=174
[05:26:55]   ℹ️ 1NDJ.pdb 分区 pocket=131/468 core=173 surface=212
[05:26:56]   ℹ️ 1HP5.pdb 分区 pocket=57/499 core=268 surface=195
[05:26:57]   ℹ️ 1LU1.pdb 分区 pocket=51/253 core=97 surface=122
[05:26:57]   ℹ️ 1CBK.pdb 分区 pocket=53/320 core=129 surface=150
[05:26:58]   ℹ️ 1NUB.pdb 分区 pocket=80/442 core=178 surface=234
[05:26:58]   ℹ️ 1LGD.pdb 分区 pocket=15/257 core=120 surface=122
[05:26:59]   ℹ️ 1NFS.pdb 分区 pocket=56/356 core=146 surface=156
[05:26:59]   ℹ️ 1BS9.pdb 分区 pocket=19/207 core=102 surface=96
[05:26:59]   ℹ️ 1G5N.pdb 分区 pocket=80/318 core=128 surface=161
[05:27:00]   ℹ️ 1KFW.pdb 分区 pocket=58/435 core=224 surface=173
[05:27:01]   ℹ️ 1GVW.pdb 分区 pocket=61/328 core=142 surface=155
[05:27:01]   ℹ️ 1S38.pdb 分区 pocket=47/364 core=171 surface=156
[05:27:02]   ℹ️ 1GBG.pdb 分区 pocket=11/214 core=102 surface=105
[05:27:02]   ℹ️ 1B54.pdb 分区 pocket=21/230 core=108 surface=107
[05:27:02]   ℹ️ 1JBK.pdb 分区 pocket=9/189 core=78 surface=108
[05:27:03]   ℹ️ 1SB8.pdb 分区 pocket=87/341 core=124 surface=155
[05:27:03]   ℹ️ 1C3S.pdb 分区 pocket=30/372 core=210 surface=140
[05:27:04]   ℹ️ 1A6N.pdb 分区 pocket=47/151 core=40 surface=85
[05:27:04]   ℹ️ 1I6S.pdb 分区 pocket=24/162 core=60 surface=89
[05:27:04]   ℹ️ 1I5G.pdb 分区 pocket=14/144 core=67 surface=72
[05:27:04]   ℹ️ 1AFK.pdb 分区 pocket=51/248 core=79 surface=142
[05:27:05]   ℹ️ 1HO8.pdb 分区 pocket=10/447 core=239 surface=204
[05:27:06]   ℹ️ 1RZ6.pdb 分区 pocket=121/312 core=78 surface=153
[05:27:06]   ℹ️ 1CRM.pdb 分区 pocket=40/256 core=108 surface=120
[05:27:07]   ℹ️ 1KDR.pdb 分区 pocket=83/442 core=162 surface=224
[05:27:07]   ℹ️ 1LRJ.pdb 分区 pocket=96/338 core=130 surface=145
[05:27:08]   ℹ️ 1K97.pdb 分区 pocket=26/433 core=183 surface=228
[05:27:08]   ℹ️ 1GDV.pdb 分区 pocket=40/85 core=10 surface=56
[05:27:08]   ℹ️ 1KNT.pdb 分区 pocket=12/55 core=12 surface=40
[05:27:08]   ℹ️ 1P2X.pdb 分区 pocket=58/153 core=50 surface=81
[05:27:09]   ℹ️ 1LFA.pdb 分区 pocket=32/365 core=167 surface=181
[05:27:09]   ℹ️ 1EYT.pdb 分区 pocket=32/83 core=8 surface=56
[05:27:09]   ℹ️ 1EWO.pdb resnum 对齐 196/215（19 个非标准/parse独有残基 frac=0）
[05:27:09]   ℹ️ 1EWO.pdb 分区 pocket=30/215 core=109 surface=87
[05:27:10]   ℹ️ 1NZD.pdb 分区 pocket=54/351 core=156 surface=158
[05:27:10]   ℹ️ 1G12.pdb 分区 pocket=27/167 core=68 surface=84
[05:27:11]   ℹ️ 1HFP.pdb 分区 pocket=64/186 core=50 surface=102
[05:27:11]   ℹ️ 1DXD.pdb 分区 pocket=74/153 core=31 surface=87
[05:27:11]   ℹ️ 1L80.pdb 分区 pocket=26/162 core=58 surface=90
[05:27:11]   ℹ️ 1FK2.pdb 分区 pocket=40/93 core=13 surface=62
[05:27:12]   ℹ️ 1H62.pdb 分区 pocket=43/364 core=185 surface=148
[05:27:12]   ℹ️ 1NW8.pdb 分区 pocket=22/272 core=121 surface=138
[05:27:13]   ℹ️ 1BT8.pdb 分区 pocket=20/402 core=180 surface=202
[05:27:13]   ℹ️ 1J6Z.pdb 分区 pocket=92/368 core=140 surface=180
[05:27:14]   ℹ️ 1OIK.pdb 分区 pocket=56/494 core=235 surface=217
[05:27:14]   ℹ️ 1LYF.pdb 分区 pocket=23/162 core=62 surface=88
[05:27:15]   ℹ️ 1PXB.pdb 分区 pocket=68/394 core=162 surface=180
[05:27:16]   ℹ️ 1I0R.pdb 分区 pocket=35/329 core=151 surface=157
[05:27:16]   ℹ️ 1PZM.pdb 分区 pocket=56/340 core=167 surface=140
[05:27:17]   ℹ️ 1KGI.pdb 分区 pocket=63/481 core=213 surface=211
[05:27:18]   ℹ️ 1HTW.pdb 分区 pocket=117/474 core=171 surface=231
[05:27:18]   ℹ️ 1AOC.pdb 分区 pocket=14/304 core=149 surface=148
[05:27:19]   ℹ️ 1L8L.pdb 分区 pocket=46/444 core=191 surface=220
[05:27:19]   ℹ️ 1DHR.pdb 分区 pocket=44/236 core=92 surface=116
[05:27:20]   ℹ️ 1AY2.pdb 分区 pocket=13/158 core=55 surface=100
[05:27:20]   ℹ️ 13ZD.pdb 分区 pocket=141/457 core=172 surface=224
[05:27:21]   ℹ️ 1G58.pdb 分区 pocket=29/392 core=214 surface=160
[05:27:22]   ℹ️ 1F77.pdb 分区 pocket=55/424 core=199 surface=204
[05:27:22]   ℹ️ 1AAL.pdb 分区 pocket=7/115 core=36 surface=77
[05:27:23]   ℹ️ 1RC0.pdb 分区 pocket=59/400 core=179 surface=188
[05:27:23]   ℹ️ 1LML.pdb 分区 pocket=12/465 core=245 surface=210
[05:27:24]   ℹ️ 1GII.pdb 分区 pocket=30/279 core=121 surface=139
[05:27:24]   ℹ️ 1BU3.pdb 分区 pocket=25/108 core=27 surface=71
[05:27:24]   ℹ️ 1IA5.pdb 分区 pocket=57/339 core=156 surface=162
[05:27:25]   ℹ️ 1LKP.pdb 分区 pocket=48/190 core=56 surface=111
[05:27:25]   ℹ️ 1HBY.pdb 分区 pocket=15/122 core=45 surface=68
[05:27:25]   ℹ️ 1AAW.pdb 分区 pocket=28/396 core=186 surface=186
[05:27:26]   ℹ️ 1OSS.pdb resnum 对齐 202/223（21 个非标准/parse独有残基 frac=0）
[05:27:26]   ℹ️ 1OSS.pdb 分区 pocket=44/223 core=108 surface=87
[05:27:26]   ℹ️ 1OXS.pdb 分区 pocket=144/352 core=111 surface=179
[05:27:27]   ℹ️ 1LUE.pdb 分区 pocket=39/154 core=47 surface=91
[05:27:27]   ℹ️ 1JF9.pdb 分区 pocket=30/405 core=208 surface=173
[05:27:28]   ℹ️ 1C3W.pdb 分区 pocket=120/222 core=51 surface=107
[05:27:29]   ℹ️ 1F5V.pdb 分区 pocket=67/480 core=250 surface=186
[05:27:29]   ℹ️ 1KKH.pdb 分区 pocket=28/317 core=163 surface=133
[05:27:30]   ℹ️ 1BHT.pdb 分区 pocket=60/350 core=145 surface=177
[05:27:30]   ℹ️ 1BGP.pdb 分区 pocket=75/309 core=121 surface=133
[05:27:30]   ℹ️ 1B6P.pdb 分区 pocket=94/194 core=41 surface=98
[05:27:31]   ℹ️ 1DQN.pdb 分区 pocket=73/460 core=214 surface=204
[05:27:32]   ℹ️ 1GS7.pdb 分区 pocket=33/334 core=154 surface=154
[05:27:33]   ℹ️ 1CJ3.pdb 分区 pocket=66/392 core=165 surface=175
[05:27:33]   ℹ️ 1J5L.pdb 分区 pocket=28/30 core=0 surface=23
[05:27:33]   ℹ️ 1CCP.pdb 分区 pocket=48/293 core=133 surface=126
[05:27:33]   ℹ️ 1E9A.pdb 分区 pocket=49/209 core=75 surface=101
[05:27:34]   ℹ️ 1MY6.pdb 分区 pocket=24/396 core=182 surface=190
[05:27:35]   ℹ️ 1BE4.pdb 分区 pocket=57/453 core=213 surface=204
[05:27:35]   ℹ️ 1E3R.pdb 分区 pocket=48/251 core=98 surface=119
[05:27:35]   ℹ️ 1EW6.pdb 分区 pocket=81/274 core=78 surface=156
[05:27:36]   ℹ️ 1CVE.pdb 分区 pocket=24/255 core=116 surface=120
[05:27:36]   ℹ️ 1JVL.pdb 分区 pocket=61/256 core=86 surface=134
[05:27:37]   ℹ️ 1NNF.pdb 分区 pocket=19/308 core=160 surface=135
[05:27:37]   ℹ️ 1GNW.pdb 分区 pocket=75/420 core=186 surface=186
[05:27:38]   ℹ️ 1MKQ.pdb 分区 pocket=60/294 core=129 surface=123
[05:27:38]   ℹ️ 1KRM.pdb 分区 pocket=30/349 core=176 surface=145
[05:27:39]   ℹ️ 13PJ.pdb 分区 pocket=51/313 core=142 surface=149
[05:27:39]   ℹ️ 1PPV.pdb 分区 pocket=55/356 core=145 surface=158
[05:27:40]   ℹ️ 1N6N.pdb 分区 pocket=51/167 core=59 surface=83
[05:27:40]   ℹ️ 1NWN.pdb 分区 pocket=65/290 core=104 surface=142
[05:27:40]   ℹ️ 1C2H.pdb resnum 对齐 217/223（6 个非标准/parse独有残基 frac=0）
[05:27:40]   ℹ️ 1C2H.pdb 分区 pocket=51/223 core=88 surface=100
[05:27:41]   ℹ️ 1B74.pdb 分区 pocket=23/252 core=111 surface=122
[05:27:41]   ℹ️ 1GRP.pdb 分区 pocket=17/414 core=211 surface=195
[05:27:42]   ℹ️ 1C3I.pdb 分区 pocket=119/343 core=121 surface=155
[05:27:43]   ℹ️ 1KDO.pdb 分区 pocket=107/446 core=146 surface=228
[05:27:44]   ℹ️ 1M7V.pdb 分区 pocket=42/362 core=158 surface=175
[05:27:44]   ℹ️ 11QE.pdb 分区 pocket=33/168 core=57 surface=96
[05:27:44]   ℹ️ 1CC8.pdb 分区 pocket=26/72 core=19 surface=45
[05:27:45]   ℹ️ 1GZA.pdb 分区 pocket=95/336 core=117 surface=149
[05:27:45]   ℹ️ 1N68.pdb 分区 pocket=53/464 core=236 surface=183
[05:27:46]   ℹ️ 1DQV.pdb 分区 pocket=27/275 core=108 surface=161
[05:27:46]   ℹ️ 1J5D.pdb 分区 pocket=23/98 core=21 surface=63
[05:27:47]   ℹ️ 1J1T.pdb 分区 pocket=20/228 core=111 surface=107
[05:27:47]   ℹ️ 1RBZ.pdb 分区 pocket=85/400 core=155 surface=200
[05:27:47]   ℹ️ 1E31.pdb 分区 pocket=40/274 core=64 surface=178
[05:27:48]   ℹ️ 1F8Y.pdb 分区 pocket=56/312 core=127 surface=136
[05:27:48]   ℹ️ 1I27.pdb 分区 pocket=8/73 core=17 surface=53
[05:27:48]   ℹ️ 1HVS.pdb 分区 pocket=41/198 core=75 surface=100
[05:27:49]   ℹ️ 1LCE.pdb 分区 pocket=36/316 core=140 surface=154
[05:27:49]   ℹ️ 1LUG.pdb 分区 pocket=55/259 core=100 surface=118
[05:27:50]   ℹ️ 1BAG.pdb 分区 pocket=64/425 core=214 surface=166
[05:27:50]   ℹ️ 1OFJ.pdb 分区 pocket=39/154 core=48 surface=91
[05:27:50]   ℹ️ 1EBY.pdb 分区 pocket=43/198 core=69 surface=100
[05:27:51]   ℹ️ 1CZM.pdb 分区 pocket=47/260 core=104 surface=122
[05:27:51]   ℹ️ 1H08.pdb 分区 pocket=51/283 core=117 surface=139
[05:27:52]   ℹ️ 1H7T.pdb 分区 pocket=35/486 core=251 surface=214
[05:27:53]   ℹ️ 1BIF.pdb 分区 pocket=81/432 core=168 surface=200
[05:27:53]   ℹ️ 1B56.pdb 分区 pocket=25/133 core=38 surface=79
[05:27:54]   ℹ️ 1MRJ.pdb 分区 pocket=21/247 core=117 surface=113
[05:27:54]   ℹ️ 1DMW.pdb 分区 pocket=36/307 core=138 surface=141
[05:27:55]   ℹ️ 1LQP.pdb 分区 pocket=59/268 core=106 surface=126
[05:27:55]   ℹ️ 1C9O.pdb 分区 pocket=26/132 core=39 surface=88
[05:27:55]   ℹ️ 1KEA.pdb 分区 pocket=43/217 core=88 surface=109
[05:27:55]   ℹ️ 1MJK.pdb 分区 pocket=10/208 core=88 surface=116
[05:27:56]   ℹ️ 1BP1.pdb 分区 pocket=110/456 core=147 surface=239
[05:27:57]   ℹ️ 1J8U.pdb 分区 pocket=35/307 core=138 surface=143
[05:27:57]   ℹ️ 1OUK.pdb 分区 pocket=46/348 core=140 surface=178
[05:27:58]   ℹ️ 1HF6.pdb 分区 pocket=57/300 core=146 surface=124
[05:27:58]   ℹ️ 1DPX.pdb 分区 pocket=17/129 core=50 surface=69
[05:27:59]   ℹ️ 1R8A.pdb 分区 pocket=27/437 core=191 surface=230
[05:27:59]   ℹ️ 1DR4.pdb 分区 pocket=61/186 core=51 surface=101
[05:27:59]   ℹ️ 1JQF.pdb 分区 pocket=32/329 core=153 surface=148
[05:27:59]   ℹ️ 1D6Q.pdb 分区 pocket=25/130 core=46 surface=70
[05:28:00]   ℹ️ 1GB9.pdb 分区 pocket=0/130 core=60 surface=70
[05:28:01]   ℹ️ 1JXJ.pdb 分区 pocket=38/495 core=266 surface=197
[05:28:01]   ℹ️ 1O32.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:28:01]   ℹ️ 1O32.pdb 分区 pocket=33/223 core=109 surface=96
[05:28:02]   ℹ️ 1F9F.pdb 分区 pocket=25/311 core=132 surface=164
[05:28:02]   ℹ️ 1A72.pdb 分区 pocket=62/374 core=166 surface=166
[05:28:02]   ℹ️ 1N6P.pdb 分区 pocket=38/164 core=61 surface=81
[05:28:03]   ℹ️ 1ITG.pdb 分区 pocket=22/142 core=51 surface=77
[05:28:04]   ℹ️ 1DQI.pdb 分区 pocket=49/486 core=260 surface=186
[05:28:04]   ℹ️ 1PT6.pdb 分区 pocket=55/387 core=198 surface=156
[05:28:05]   ℹ️ 1HKJ.pdb 分区 pocket=38/364 core=185 surface=147
[05:28:06]   ℹ️ 1CWV.pdb 分区 pocket=13/484 core=199 surface=280
[05:28:06]   ℹ️ 1BQO.pdb 分区 pocket=116/342 core=114 surface=160
[05:28:07]   ℹ️ 1C6A.pdb 分区 pocket=41/162 core=47 surface=90
[05:28:07]   ℹ️ 1CNE.pdb 分区 pocket=40/260 core=107 surface=132
[05:28:07]   ℹ️ 1O2J.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:28:07]   ℹ️ 1O2J.pdb 分区 pocket=56/223 core=95 surface=97
[05:28:08]   ℹ️ 1NGF.pdb 分区 pocket=44/382 core=175 surface=172
[05:28:08]   ℹ️ 1K0J.pdb 分区 pocket=82/394 core=171 surface=172
[05:28:09]   ℹ️ 1G4J.pdb 分区 pocket=49/258 core=103 surface=120
[05:28:09]   ℹ️ 1H63.pdb 分区 pocket=34/364 core=188 surface=148
[05:28:10]   ℹ️ 1C9Q.pdb 分区 pocket=18/117 core=22 surface=84
[05:28:10]   ℹ️ 1G3U.pdb 分区 pocket=47/208 core=69 surface=103
[05:28:10]   ℹ️ 1CHZ.pdb 分区 pocket=3/64 core=24 surface=40
[05:28:11]   ℹ️ 1SM2.pdb 分区 pocket=70/486 core=192 surface=248
[05:28:12]   ℹ️ 1FS9.pdb 分区 pocket=152/471 core=154 surface=224
[05:28:12]   ℹ️ 1F4P.pdb 分区 pocket=38/147 core=51 surface=79
[05:28:13]   ℹ️ 1ME7.pdb 分区 pocket=53/365 core=164 surface=173
[05:28:13]   ℹ️ 1SED.pdb 分区 pocket=127/334 core=105 surface=175
[05:28:13]   ℹ️ 1EPP.pdb resnum 对齐 311/330（19 个非标准/parse独有残基 frac=0）
[05:28:13]   ℹ️ 1EPP.pdb 分区 pocket=50/330 core=156 surface=143
[05:28:14]   ℹ️ 1BPQ.pdb 分区 pocket=11/123 core=42 surface=74
[05:28:14]   ℹ️ 1NJC.pdb 分区 pocket=22/316 core=149 surface=153
[05:28:15]   ℹ️ 1DXY.pdb 分区 pocket=57/330 core=132 surface=165
[05:28:15]   ℹ️ 1FKH.pdb 分区 pocket=20/107 core=34 surface=61
[05:28:15]   ℹ️ 1MQI.pdb 分区 pocket=27/260 core=107 surface=131
[05:28:16]   ℹ️ 1GAZ.pdb 分区 pocket=0/130 core=61 surface=69
[05:28:17]   ℹ️ 1PPI.pdb 分区 pocket=52/496 core=258 surface=199
[05:28:17]   ℹ️ 10GS.pdb 分区 pocket=90/416 core=174 surface=190
[05:28:18]   ℹ️ 1MWD.pdb 分区 pocket=70/306 core=92 surface=176
[05:28:18]   ℹ️ 1S2A.pdb 分区 pocket=61/315 core=127 surface=142
[05:28:20]   ⚠️ 155C.pdb SASA/pocket 分区失败: freesasa 计算失败: Error: Radius is <= 0 (-1.0) for the residue: UNK, atom:  N  （跳过 v12 监督）
[05:28:21]   ℹ️ 1JFC.pdb 分区 pocket=62/399 core=162 surface=193
[05:28:22]   ℹ️ 1KVS.pdb 分区 pocket=92/338 core=129 surface=146
[05:28:23]   ℹ️ 1DGL.pdb 分区 pocket=76/474 core=230 surface=196
[05:28:23]   预解析+encode 200/1364（跳过 0）
[05:28:23]   ℹ️ 1IX6.pdb 分区 pocket=37/396 core=184 surface=186
[05:28:24]   ℹ️ 1JSE.pdb 分区 pocket=12/129 core=53 surface=70
[05:28:24]   ℹ️ 1OAL.pdb 分区 pocket=26/150 core=44 surface=83
[05:28:24]   ℹ️ 1MAU.pdb 分区 pocket=104/328 core=99 surface=161
[05:28:25]   ℹ️ 1A2S.pdb 分区 pocket=39/89 core=12 surface=58
[05:28:25]   ℹ️ 1DT6.pdb 分区 pocket=73/449 core=195 surface=208
[05:28:26]   ℹ️ 1D3F.pdb 分区 pocket=25/162 core=60 surface=89
[05:28:26]   ℹ️ 1I13.pdb 分区 pocket=74/380 core=172 surface=145
[05:28:26]   ℹ️ 1DMC.pdb 分区 pocket=26/31 core=0 surface=25
[05:28:28]   ℹ️ 1RXY.pdb 分区 pocket=73/500 core=239 surface=208
[05:28:28]   ℹ️ 1IBD.pdb 分区 pocket=26/148 core=43 surface=82
[05:28:28]   ℹ️ 1IVN.pdb 分区 pocket=36/178 core=72 surface=90
[05:28:28]   ℹ️ 1BLU.pdb 分区 pocket=46/80 core=5 surface=51
[05:28:28]   ℹ️ 1RR7.pdb 分区 pocket=5/94 core=18 surface=76
[05:28:28]   ℹ️ 1E0S.pdb 分区 pocket=31/173 core=67 surface=86
[05:28:29]   ℹ️ 1KUX.pdb 分区 pocket=43/166 core=51 surface=94
[05:28:29]   ℹ️ 1Q11.pdb 分区 pocket=54/329 core=139 surface=153
[05:28:29]   ℹ️ 1BFX.pdb 分区 pocket=34/94 core=14 surface=65
[05:28:30]   ℹ️ 1EXX.pdb 分区 pocket=60/236 core=76 surface=119
[05:28:30]   ℹ️ 1OKN.pdb 分区 pocket=44/256 core=106 surface=119
[05:28:30]   ℹ️ 1NHK.pdb 分区 pocket=34/287 core=141 surface=127
[05:28:31]   ℹ️ 1CSS.pdb 分区 pocket=48/435 core=193 surface=211
[05:28:32]   ℹ️ 1IE4.pdb 分区 pocket=65/480 core=218 surface=208
[05:28:33]   ℹ️ 1KJO.pdb 分区 pocket=53/317 core=142 surface=140
[05:28:34]   ℹ️ 1E30.pdb 分区 pocket=41/306 core=125 surface=148
[05:28:34]   ℹ️ 1P6O.pdb 分区 pocket=78/317 core=131 surface=123
[05:28:35]   ℹ️ 1IOM.pdb 分区 pocket=50/374 core=169 surface=174
[05:28:35]   ℹ️ 1KKK.pdb 分区 pocket=54/317 core=141 surface=139
[05:28:36]   ℹ️ 1G9U.pdb 分区 pocket=126/353 core=120 surface=173
[05:28:36]   ℹ️ 1HYV.pdb 分区 pocket=51/142 core=35 surface=85
[05:28:36]   ℹ️ 1HLQ.pdb 分区 pocket=102/223 core=41 surface=133
[05:28:37]   ℹ️ 1N46.pdb 分区 pocket=84/487 core=195 surface=220
[05:28:38]   ℹ️ 1O8H.pdb 分区 pocket=14/352 core=195 surface=150
[05:28:38]   ℹ️ 1AEM.pdb 分区 pocket=52/291 core=129 surface=124
[05:28:39]   ℹ️ 1KVK.pdb 分区 pocket=37/378 core=180 surface=175
[05:28:39]   ℹ️ 1L0S.pdb 分区 pocket=83/348 core=114 surface=200
[05:28:40]   ℹ️ 1N0Q.pdb 分区 pocket=13/184 core=80 surface=100
[05:28:40]   ℹ️ 1LG2.pdb 分区 pocket=54/359 core=173 surface=150
[05:28:41]   ℹ️ 1SKB.pdb 分区 pocket=71/435 core=216 surface=181
[05:28:41]   ℹ️ 1G19.pdb 分区 pocket=10/311 core=135 surface=170
[05:28:42]   ℹ️ 1CZ3.pdb 分区 pocket=31/332 core=157 surface=156
[05:28:43]   ℹ️ 1M2R.pdb 分区 pocket=36/327 core=161 surface=144
[05:28:43]   ℹ️ 1DK8.pdb 分区 pocket=57/147 core=39 surface=90
[05:28:43]   ℹ️ 1ENT.pdb resnum 对齐 311/330（19 个非标准/parse独有残基 frac=0）
[05:28:43]   ℹ️ 1ENT.pdb 分区 pocket=51/330 core=156 surface=143
[05:28:44]   ℹ️ 1B2R.pdb 分区 pocket=48/295 core=122 surface=145
[05:28:44]   ℹ️ 1AEF.pdb 分区 pocket=51/291 core=130 surface=124
[05:28:45]   ℹ️ 1LID.pdb 分区 pocket=25/131 core=29 surface=87
[05:28:45]   ℹ️ 1QTV.pdb 分区 pocket=22/164 core=62 surface=90
[05:28:45]   ℹ️ 1O2L.pdb resnum 对齐 212/223（11 个非标准/parse独有残基 frac=0）
[05:28:45]   ℹ️ 1O2L.pdb 分区 pocket=40/223 core=103 surface=97
[05:28:45]   ℹ️ 1SEG.pdb 分区 pocket=26/64 core=15 surface=38
[05:28:46]   ℹ️ 1A54.pdb 分区 pocket=45/321 core=151 surface=139
[05:28:46]   ℹ️ 1IB0.pdb 分区 pocket=65/272 core=100 surface=138
[05:28:47]   ℹ️ 13ZM.pdb 分区 pocket=140/457 core=167 surface=226
[05:28:48]   ℹ️ 1ID0.pdb 分区 pocket=37/146 core=44 surface=81
[05:28:48]   ℹ️ 1BLV.pdb 分区 pocket=34/94 core=12 surface=66
[05:28:49]   ℹ️ 1F5J.pdb 分区 pocket=12/398 core=212 surface=182
[05:28:49]   ℹ️ 1B7E.pdb 分区 pocket=23/372 core=176 surface=186
[05:28:49]   ℹ️ 1AG6.pdb 分区 pocket=16/99 core=32 surface=59
[05:28:50]   ℹ️ 1LZN.pdb 分区 pocket=51/129 core=34 surface=72
[05:28:50]   ℹ️ 122L.pdb 分区 pocket=24/162 core=61 surface=88
[05:28:50]   ℹ️ 1A53.pdb 分区 pocket=27/247 core=115 surface=109
[05:28:51]   ℹ️ 1BWC.pdb 分区 pocket=70/461 core=191 surface=224
[05:28:51]   ℹ️ 1GFI.pdb 分区 pocket=42/313 core=132 surface=150
[05:28:52]   ℹ️ 1Q5H.pdb 分区 pocket=108/405 core=148 surface=190
[05:28:53]   ℹ️ 1LXI.pdb 分区 pocket=14/104 core=25 surface=73
[05:28:53]   ℹ️ 1BYS.pdb 分区 pocket=6/152 core=72 surface=77
[05:28:54]   ℹ️ 1S52.pdb 分区 pocket=86/454 core=174 surface=214
[05:28:54]   ℹ️ 1HPM.pdb 分区 pocket=68/378 core=163 surface=168
[05:28:55]   ℹ️ 1G1D.pdb 分区 pocket=44/258 core=106 surface=120
[05:28:55]   ℹ️ 1FR9.pdb 分区 pocket=10/185 core=90 surface=90
[05:28:55]   ℹ️ 1PHR.pdb 分区 pocket=15/154 core=64 surface=79
[05:28:55]   ℹ️ 13SC.pdb 分区 pocket=161/283 core=41 surface=158
[05:28:56]   ℹ️ 1AVM.pdb 分区 pocket=32/402 core=174 surface=202
[05:28:57]   ℹ️ 1QMQ.pdb 分区 pocket=110/406 core=153 surface=181
[05:28:57]   ℹ️ 1KM4.pdb 分区 pocket=32/212 core=85 surface=104
[05:28:57]   ℹ️ 1LKD.pdb 分区 pocket=61/287 core=117 surface=127
[05:28:58]   ℹ️ 1C8W.pdb 分区 pocket=23/124 core=37 surface=78
[05:28:58]   ℹ️ 1ELS.pdb 分区 pocket=23/436 core=242 surface=174
[05:28:59]   ℹ️ 1AES.pdb 分区 pocket=51/291 core=129 surface=123
[05:28:59]   ℹ️ 1EXW.pdb 分区 pocket=53/279 core=120 surface=130
[05:29:00]   ℹ️ 1DUG.pdb 分区 pocket=45/468 core=237 surface=194
